,date,RGDP1,RGDP2,PGDP1,PGDP2,RNRESIN1,RNRESIN2,RRESINV1,RRESINV2
101,1994:Q1,5212.1,5254.1483,124.9,125.7362,623.8,634.3341,227.2,231.1651
102,1994:Q2,5258.5457,5309.0293,125.7,126.493,634.0714,651.3085,232.2371,236.1834
103,1994:Q3,5309.3167,5342.4934,125.9241,126.8663,658.8133,673.1559,233.8867,236.1196
104,1994:Q4,5358.5862,5402.0548,126.425,127.3471,669.4071,686.1549,229.7536,231.1241
105,1995:Q1,5426.4552,5468.178,127.0071,127.9113,708.231,724.7857,228.7714,228.7792
106,1995:Q2,5471.4769,5495.5047,127.6184,128.5137,739.7294,756.7212,227.6569,224.1569
107,1995:Q3,5477.3981,5506.4695,128.0041,128.7674,764.396,777.8756,220.876,219.9827
108,1995:Q4,5543.8667,5577.5576,128.3114,128.9458,778.9318,791.1729,226.9432,231.4331
109,1996:Q1,6786.9118,6810.8247,108.4964,109.1517,730.2825,736.4347,265.225,266.3356
110,1996:Q2,6823.4619,6872.8157,109.2,109.8665,746.3762,754.2759,269.3,270.8633
111,1996:Q3,6885.169,6929.2687,109.6,110.2677,744.5366,755.0843,280.822,281.3789
112,1996:Q4,6929.2919,6966.4259,110.1,110.7198,776.4838,786.6258,277.1676,277.1875
113,1997:Q1,7007.9,7048.0112,110.7,111.3244,789.5316,801.6099,276.7132,276.505
114,1997:Q2,7089.4675,7131.2842,111.4115,112.0559,814.6375,829.0659,280.3026,281.7443
115,1997:Q3,7140.373,7188.6066,112.1685,112.7501,837.9417,853.8011,277.1,278.5611
116,1997:Q4,7221.7526,7271.9203,112.66,113.218,873.6579,890.46,280.2,282.7558
117,1998:Q1,7290.6258,7335.5058,113.1014,113.6556,866.971,888.0228,287.1,290.6283
118,1998:Q2,7356.4138,7403.5231,113.328,113.7579,909.0138,929.6511,298.2,302.7799
119,1998:Q3,7491.1613,7532.2714,112.576,112.9831,957.9194,976.0659,307.9867,310.9519
120,1998:Q4,7558.9909,7603.8926,112.7975,113.1818,959.2212,976.5891,314.2937,316.4025
121,1999:Q1,7670.0,7725.8712,113.0945,113.4475,996.5,1016.7249,324.2031,328.8003
122,1999:Q2,7762.5,7823.663,113.4832,113.8875,1010.3,1028.532,336.1,339.6174
123,1999:Q3,7803.6,7867.8257,113.9814,114.4532,1038.5,1055.5246,340.1,338.9671
124,1999:Q4,8882.7256,8966.9457,104.3851,104.8086,1245.3914,1268.5079,372.7,369.9925
125,2000:Q1,9026.9,9093.8239,104.936,105.4241,1241.9,1271.2473,374.0,373.5962
126,2000:Q2,9156.3176,9250.737,105.8661,106.4752,1304.6727,1336.3484,382.9,382.3959
127,2000:Q3,9308.8,9383.5098,106.8232,107.4085,1426.2,1465.9592,375.0,371.4769
128,2000:Q4,9382.6676,9457.257,107.3153,107.8868,1436.8235,1472.3049,363.497,362.362
129,2001:Q1,9401.5143,9420.352,107.7753,108.3865,1433.6118,1442.6421,360.0,359.5877
130,2001:Q2,9439.6606,9466.8362,108.59,109.2147,1442.2,1437.22,361.9,363.2325
131,2001:Q3,9351.3091,9384.4337,109.2675,109.7341,1324.5,1304.6834,379.6,381.0038
132,2001:Q4,9333.0414,9286.2684,109.8014,110.1432,1279.6286,1232.5539,380.0,372.8989
133,2002:Q1,9315.6,9347.135,109.7379,110.1843,1248.4,1231.4507,374.2,373.5717
134,2002:Q2,9482.1771,9541.7795,110.0181,110.5317,1226.8059,1229.8387,390.0,390.667
135,2002:Q3,9387.9029,9443.6544,110.4646,110.9761,1183.6114,1185.96,388.1971,388.8678
136,2002:Q4,9465.0706,9501.1476,110.7926,111.2513,1182.8121,1187.1057,385.5848,387.8375
137,2003:Q1,9503.2,9552.6281,111.2417,111.7866,1183.2,1192.6743,393.6,395.9204
138,2003:Q2,9556.0,9595.1962,111.9541,112.4339,1172.7,1181.5835,407.3,407.9784
139,2003:Q3,9608.5967,9697.2601,112.1734,112.5851,1191.7433,1210.6192,411.5,413.6103
140,2003:Q4,9797.5824,9893.5308,112.6747,113.1098,1224.9765,1252.9665,431.6788,437.0436
141,2004:Q1,10596.6531,10711.9317,106.1639,106.5462,1158.6,1184.5542,529.7625,535.0775
142,2004:Q2,10709.3993,10825.8137,106.9196,107.4432,1189.8012,1217.7953,529.3972,532.736
143,2004:Q3,10776.3496,10867.6947,108.1574,108.699,1198.2111,1226.8242,562.3741,563.8882
144,2004:Q4,10883.4,10981.9039,108.5083,108.9947,1241.7,1271.8951,567.9,569.9957
145,2005:Q1,10976.3,11078.115,109.1103,109.6737,1276.4175,1300.6371,566.3617,567.8981
146,2005:Q2,11078.5261,11160.0912,110.04,110.6903,1303.0,1332.4656,578.6,582.6356
147,2005:Q3,11092.0,11205.3172,111.6177,112.1891,1279.5,1308.5799,597.9,601.0933
148,2005:Q4,11193.2,11281.6438,112.5189,113.2379,1298.4,1322.1684,606.3,609.8636
149,2006:Q1,11233.7935,11347.6059,113.4099,114.0895,1314.316,1344.6305,615.2,613.146
150,2006:Q2,11381.6323,11473.7456,114.4488,115.1963,1364.6588,1391.5639,618.24,614.3328
151,2006:Q3,11385.6275,11464.7449,115.9098,116.6817,1297.5795,1326.2041,608.5,597.821
152,2006:Q4,11433.2763,11504.1357,116.4301,116.9872,1330.0,1355.1201,572.5543,555.5165
153,2007:Q1,11541.6,11614.3696,116.8894,117.5693,1332.8,1356.1257,540.7,525.9461
154,2007:Q2,11549.1736,11618.2559,118.0694,118.8159,1330.2367,1345.6688,515.1388,502.1457
155,2007:Q3,11507.902,11582.0852,119.539,120.054,1347.6013,1360.9638,494.2,482.9106
