History for Series RTD.Q.S0.S.G_GFCF_TO_U.E (10000 history days)
,,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,changes at: ,valid from: 
1995Q4,286991.8,286991.8,286994.69,286853.31,287411.32,287415.6,287451.27,287450.72,287425.35,287448.92,287400.88,287381.44,287265.08,287387.71,286811.21,286806.93,286728.68,286735.23,286759.91,286963.26,286248.9,286187.54,286020.53,285989.27,287948.33,288230.53,287967.63,287758.28,287791.72,287784.5,287786.7,287709.2,287508.08,287484.62,287498.03,287378.33,287574.84,287121.79,287091.88,287024.18,287045.12,287057.33,287179.49,287278.29,287093.84,286185.9,286208.32,286203.12,286245.76,285730.05,285748.38,284775.99,284659.29,284636.9,284366.35,284234.74,284299.66,285206.93,285691.46,284934.75,284810.37,284848.81,284755.06,284769.54,284724.41,284185.47,284545.99,284248.52,283926.3,283639.18,280777.33,280777.33,280433.83,280345.97,279590.56,279550.26,280799.55,280783.54,280344.31,280687.54,280680.96,281018.26,281324.54,281309.08,281427.48,281369.31,281378.36,281291.56,281311.31,281212.52,280855.68,281008.7,281136.66,281270.49,281264.58,280908.03,280764,280639.58,280672.8177,280843.4516,280821.5793,280815.39,280818.85,280833.74,280808.17,281149.73,281065.85,280992.51,281050.61,281040.2863,281043.64,280874.6875,279325.52,279515.69,279507.16
1995Q3,284326.83,284326.83,284326.33,284207,283483.41,283478.65,283461.02,283558.49,283541,283596.03,283561.02,283528.05,283397.41,283329.18,283334.66,283328.12,283274.7,283288.11,283327.01,283208.65,282462.82,282358.49,282410.46,282384.87,284486.72,284795.24,284497.03,284308.47,284299.69,284293.9,284285.43,284369.1,284176.94,284191.89,284214.32,284123.16,284138.42,283641.45,283626.86,283544.55,283558.42,283467.26,283600.75,283743.97,283487.05,282475.77,282479.54,282524.84,282565.93,282268.45,282288.37,281363.79,281338.04,281299.18,281306.08,281282.67,281345.51,281034.17,281107.05,280386.16,280536.55,280617.48,280336.56,280301.82,280288.9,280056.97,279976.2,279740.76,279827.35,279615.18,277686.15,277686.15,277119.18,277370.21,276743.13,276704.3,278150.85,278149.1,278035.18,277986.33,277980.25,278335.5,278399.66,278462.04,278237.8,278236.27,278241.97,278208.92,278178.92,278096.82,277976.44,278055.73,278136.19,278097.02,278318.23,278243.45,278471,278287.53,278251.8472,278364.5996,278344.7742,278339.99,278340.52,278373.86,278354.53,278219.49,278357.92,278392.14,278245.34,278272.0069,278211.12,278298.5,278602.31,278472.01,278479.35
1995Q2,282355.7,282355.7,282356.95,282215.33,282016.34,282012.23,282049.98,282006.59,281943.28,281974.47,281938.64,281946.87,281807.38,281849.43,281796.07,281791.01,281779.6,281786.78,281784.97,281725.13,281039.14,280834.72,280892.42,280891.22,282864.34,283124.55,282856.45,282664.81,282682.69,282682.65,282647.11,282622.45,282285.2,282282.68,282280.31,282149.62,282116.42,281748.45,281726.38,281594.79,281623.45,281635,281467.34,281304.46,281708.4,280794.25,280772.81,280786.11,280832.38,280426.08,280398.42,279996.39,279838.96,279779.89,279908.64,280016.32,280025.82,280672.25,280339.61,279647.17,279736.99,279948.03,279971.75,279953.14,279941.34,279889.93,279695.49,279451.76,279350.8,279643.3,276919.3,276919.3,276865.98,276425.09,276557.36,276537.78,277961.4,277972.58,277850.87,277884.94,277892.73,278252.71,277981.84,277959.85,277968.53,277986.13,277958,277939.81,277949.93,278043.03,278192.97,278231.83,278351.09,278323.61,277995.88,277846.61,277831,278067.53,278081.6432,278135.5045,278159.6289,278275.42,278279.87,278228.11,278227.76,277950.78,277929.01,277983.15,277723.27,277715.6872,277708.31,277679.8438,278321.69,278202.81,278202.33
1995Q1,277832.23,277832.23,277830.08,277714.31,278073.19,278079.96,278196.2,278142.66,278197.83,278209.92,278185.91,278211.66,278071.78,278074.26,278351.96,278367.83,278422.64,278399.54,278363.22,278202.83,277435.02,277178.54,277374.5,277419.11,279173.27,279396.95,279149.89,278963.27,278921.93,278934.99,278948.37,278927.64,278602.3,278645.56,278612.27,278430.94,278340.09,278218.14,278207.85,278446.25,278466.14,278461.52,278373.54,278292.97,278331.44,277453.29,277397.8,277359.63,277411.59,276903.37,276893.53,276680.72,276426.11,276401.15,276596.6,276615.75,276533.66,275485.55,275269.25,274266.14,274147.86,273877.58,274235.02,274210.9,274212.53,273703.42,273522.14,273349.76,273525.36,273735.51,271004.92,271004.92,270761.01,270981.05,270569.61,270688.52,272293.29,272299.16,272337.65,272009.2,272014.07,272295.69,272207.45,272170.83,272267.99,272310.08,272322.8,272460.85,272460.98,272548.78,272876.06,272769.44,272441.76,272374.14,272486.57,272313.09,272244,272168.66,272181.3409,271844.0883,271861.6616,271764.69,271756.26,271759.52,271775.49,271845.96,272054.21,272058.09,272400.64,272391.8795,272456.79,272566.8438,272732.64,272791.63,272793.31
1994Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,273438.97,273438.97,273519.37,273007.41,273002.23,274552.56,274524.42,274556.34,274598.06,274603.1,274729.82,275056.52,275194.21,274718.55,274698.51,274691.25,274614.86,274603.58,274456.47,274351.4,274324.46,274000.84,274022.3,274179.31,273937.09,273926,273913.86,273920.4608,273793.2325,273756.1342,273790.36,273798.2,273749.69,273760.6,274042.96,274007.64,273950.71,273980.74,274070.819,274024.43,274117.9375,273647.06,273661.98,273651.13
1994Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,266110.26,266110.26,266425.74,266170.63,266211.44,267570.05,267688.2,268180.83,268106.02,268107.63,268142.22,267945.13,267920.8,267962.74,267959.61,267959.15,267983.22,267981.65,267931.22,268024.96,267951.03,267878.01,267749.07,267790.73,267827.41,267884,267897.28,267838.0071,268181.1252,268170.7711,267957.21,267959.68,267945.31,267950.81,267896.56,267874.02,267861.82,267723.73,267732.6033,267710.7,267728.8125,267911.85,267908.47,267919.03
1994Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,262389.6,262389.6,262362.17,262366.38,262444.38,263545.98,263523.21,264035.79,263954.59,263955.09,263974.14,263854.03,263802.56,263947.85,263942.45,263933.47,263911.2,263926.07,264067.02,264031.43,263896.5,264106.84,263931.89,263893.91,263829.05,263866,263866.21,263738.6558,263806.4581,263802.5518,263926.53,263934.4,263922.66,263934.08,263891.98,264272.14,264225.56,264170.56,264099.242,264096.49,264082.5,263986.58,263987.87,263989.3
1994Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,256360.51,256360.51,256003.77,256296.88,256187.4,257321.14,257253.67,257761.01,257875.28,257868.14,257918.88,257899.83,257847.73,258136.16,258164.69,258181.39,258255.99,258253.97,258438.19,258485.12,258415.63,258601.95,258884.37,258725.06,258995.47,258911,258911.67,258873.0864,258589.3992,258640.7589,258688.98,258670.82,258745.44,258734.39,258548.38,258863.4,258758.75,258921.81,258894.1757,258965.22,258867.5938,258850.83,258838,258836.87
1993Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,253634.77,253634.77,253206.11,253103.8,252973.76,254317.99,254290.2,254555.76,254485.16,254483.53,254569.22,254695.48,254711.46,254398.29,254403.05,254417.98,254423.67,254432.28,254722.18,254820.99,254589.68,254721.76,254812.83,254371.69,254900.34,254799,254889.47,254629.7964,254616.9878,254639.8611,254551.6,254548.33,254589.53,254563.28,254574.82,254902.03,254724.95,254837.1,254746.813,254720.96,254534.0156,253868.3,253873.13,253878.08
1993Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,254731.39,254731.39,255112.88,254602.58,254548.65,256419.73,256571.01,257115.15,257192.93,257195.88,257298.42,256956.09,256996.78,256917.28,256914.63,256894.91,256888.87,256882.84,256994.45,257102.62,256916.13,255880.62,255907.8,256723.97,255826.42,255876,255810.77,256582.8632,256723.189,256694.5172,256779.53,256782.15,256801.77,256801.42,256565.66,256326.49,256098.48,255899.39,256049.6182,256066.38,256106.5313,256567.61,256561.74,256567.31
1993Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,254907.05,254907.05,255005.9,254556.43,254607.18,255982.77,255939.93,256445.02,256564.47,256562.78,256685.61,256677.55,256701.79,256683.62,256659.62,256652.16,256669.61,256676.22,256683.22,256705.76,256680.8,257032.6,257205.16,256991.97,257257.44,257253,257279.39,256931.6715,256923.2157,256922.5456,257002.94,256995.62,256957.04,256990.76,257091.59,257725.16,257470.74,257467.21,257449.4196,257513.52,257665.0313,257371.89,257374.23,257368.39
1993Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,258088.69,258088.69,257758.4,257751.94,257886.29,259323.32,259245.23,259716.1,259589.47,259589.83,259728.49,260007.1,259871.78,260282.61,260304.45,260316.72,260299.62,260290.42,259881.91,259652.39,259814.41,260366.03,260075.22,259913.23,260016.66,260070,260021.22,259866.8189,259747.7535,259754.2241,259990.04,259997.99,259975.76,260004.4,260127.79,259896.33,259646.71,259737.18,259695.0301,259640.03,259635.2969,259750.59,259749.29,259744.6
1992Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,263803.32,263803.32,263567.41,262842.28,263017.54,264677.61,264737.66,265062.36,265093.24,265090.48,265221.73,266414.42,266427.35,266445.96,266468.88,266468.88,266447.15,266461.91,266528.92,266493.64,266417.23,266047.44,266264.65,266054.54,266341.09,266289,266159.93,266151.2734,265997.1839,266023.2323,266114.91,266117.36,266157.17,266156.36,265686.23,266159.74,265966.05,266023.05,266163.8318,266153.5,266189.7813,266070.19,266071.76,266074.31
1992Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,267353.51,267353.51,267198.44,267204.84,267244.27,269247.44,269113.98,269608.87,269663.28,269659.69,269730.65,268460.84,268442.36,268586.63,268579.73,268587.24,268579.8,268566.96,268620.21,268772.06,268500.94,268369.5,268276.4,268208.94,268266.15,268279,268207.16,268213.9348,268372.0029,268378.907,268326.9,268325.85,268362.17,268349.25,268458.15,268811.15,268680.06,268611.43,268575.9149,268622.91,268679.125,268374.91,268381.82,268396.56
1992Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,270153.83,270153.83,270405.45,270021.42,269930.8,271510.76,271526.48,271811.14,271774.5,271778.18,271847.5,272007.95,271948.12,271965.29,271920.94,271924.8,271931.08,271912.44,271877.55,271762.41,272018.37,272064.13,272022.71,272015.57,271990.22,272013,272056.67,272093.6903,272202.3849,272209.7899,272360.26,272357.3,272356.46,272346.28,272546.17,272615.05,272572.74,272458.68,272392.7676,272389.18,272334.8438,272009.51,272016.09,272009.32
1992Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,273530,273530,274092.67,273710.68,273655.59,275381.78,275439.3,275401.6,275352.95,275355.62,275445.09,275402.92,275427.17,275247.13,275275.49,275264.13,275287.01,275303.75,275218.37,275216.93,275125.17,275580.64,275497.95,275782.5,275464.1,275479,275637.81,275726.7615,275614.0793,275573.7218,276004.28,276005.84,275930.53,275920.27,276081.6,275670.03,275603.35,275729.04,275689.6767,275656.61,275618.4375,275948.33,275933.26,275922.73
1991Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,269386.01,269386.01,268953.84,269122.16,269029.81,270156.07,270188.2,269487.26,269365.96,269361.15,269484.68,269595.93,269378.3,269560.15,269602.61,269587.07,269652.78,269648.08,269458.02,269481.69,269427.02,269581.34,269450.76,269048.94,269363.6,269097,269255.93,269273.5093,269487.6233,269527.0354,269643.04,269638.14,269536.87,269538.64,269634.17,269763.56,269631.16,269630.01,269757.8607,269755.35,269912.7813,269246.79,269263.64,269282.26
1991Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,262614.25,262614.25,263127.59,262816.28,262823.56,265043.03,265155.69,264473.75,264454.91,264454.57,264536.51,264763.72,264660.68,264625.31,264626.64,264618.06,264629.86,264607.66,264697.51,264786.5,264694.18,264672.62,264696.2,264736.28,264661.05,264721,264814.22,264678.954,264522.0959,264516.4151,264679.67,264672.22,264636.88,264629.91,264578.15,264862.02,264743.36,264718.22,264745.668,264804.81,264709.0625,264498.09,264495.28,264505.45
1991Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,261097.5,261097.5,261567.82,261346.71,261269.98,262878.55,262815.19,261976.71,262107.28,262109.38,262192.18,261866.84,262012.54,261962.93,261919.77,261915.66,261957.71,261994.64,261780.63,261714.98,261738.14,261573.6,261616.44,261790.81,261641.14,261643,261498.95,261640.0247,261535.9613,261516.2739,261684.91,261690.94,261718.18,261717.98,261646.99,261776.1,261700.69,261746.48,261674.9946,261587.47,261630.75,261807.72,261798.08,261789.27
1991Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,255936.65,255936.65,256572.59,256103.36,256267.55,257964.57,257882.79,257131.6,257141.17,257144.22,257249.15,257236.73,257411.19,257314.31,257313.72,257341.96,257222.4,257212.37,257539.93,257492.93,257542.96,257574.75,257638.91,257826.17,257736.4,257939,257833.1,257781.171,257827.9835,257813.9407,257850.42,257856.72,257966.08,257973.63,258000.86,257916.99,257899.89,257880.37,257796.5667,257827.47,257722.5,258041.59,258037.18,258017.2
